id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1076263150828207844,Charming Cottage Short Distance to CBD w/ Parking,78924442,Lee,,Brisbane City,-27.463532819996228,153.011710227407,Entire home/apt,157,1,70,2025-10-25,3.28,291,320,41,
1076388780344750534,The Eclectic Retreat - 3BR with Parking,205431023,Alessio,,East Brisbane,-27.47859,153.04547,Entire home/apt,241,1,28,2025-10-27,1.33,26,258,15,
1076476559785977880,"Perfect Valley Apt w/ Views, Pool, Gym & Car Park",78924442,Lee,,Fortitude Valley,-27.45644035034499,153.03252144305117,Entire home/apt,200,1,82,2025-10-27,3.85,291,349,44,
1076559214825645466,Sunflower Suite,25772422,Allison,,Bellbowrie - Moggill,-27.5785559,152.885865,Entire home/apt,216,2,26,2025-07-26,1.29,1,341,15,
1076710278964491327,"Large studio balcony, spa & pool",534250767,Adrian Paul Maurice,,Fortitude Valley,-27.4599826,153.0323856,Entire home/apt,135,1,21,2025-10-09,0.96,1,129,12,
1077001815359565452,"Home away from home, Ensuite!",464263032,Adam,,Inala - Richlands,-27.58551,152.96134,Private room,,1,60,2025-10-07,2.77,3,0,36,
1077012201813125643,"Home away from home, lush oasis!",464263032,Adam,,Inala - Richlands,-27.58829,152.96138,Private room,77,1,94,2025-10-14,4.33,3,19,45,
1077027073382711419,Albion Convenient Hideaway with Parking & Balcony,279001183,MadeComfy,,Albion,-27.42944,153.04501,Entire home/apt,155,3,8,2025-09-07,0.43,68,319,5,
1077239889669704791,Dazzling City Views + Heart of City Excitement,162490775,David,,South Brisbane,-27.4736,153.01562,Entire home/apt,165,1,78,2025-10-19,3.76,1,54,38,
1077303600512799464,"Quiet Suburban Escape - Pool, Park and Shops",202448638,Rene,,Bridgeman Downs,-27.333694781592815,153.00301104784012,Private room,112,2,85,2025-11-07,3.91,3,332,56,
1078381332748993100,Tranquil Retreat – Gorgeous Pool 20 Min to Airport,202448638,Rene,,Bridgeman Downs,-27.33418,153.00194,Private room,111,2,77,2025-11-04,3.56,3,325,52,
1078747902966140088,Contemporary 2 Bedroom Unit in Taringa,42632877,Chris,,Taringa,-27.49423,152.97389,Entire home/apt,232,2,25,2025-08-10,1.18,5,25,14,
1079308648416430769,2001: A Gabba Space Odyssey,73489775,Wayne,,Woolloongabba,-27.4875202,153.0386275,Entire home/apt,172,28,6,2025-08-22,0.33,1,131,3,
1079527567942831144,Cozy little room in Richlands,148904247,Andrea,,Inala - Richlands,-27.599376611220578,152.95423940317994,Private room,73,1,48,2025-04-11,2.25,2,219,22,
1079910807497474746,South Bank & city. Apartment + car parking,240753079,Alex,,South Brisbane,-27.47208,153.01596,Entire home/apt,,1,4,2024-09-18,0.19,5,0,0,
1080007965517493697,Stylish Brisbane CBD Apmnt with Pool Study & Gym,420886736,Paul,,Brisbane City,-27.4704818,153.0275338,Entire home/apt,185,2,6,2025-07-09,0.29,3,251,3,
1080043384467103232,Studio apartment. South Bank & City.,240753079,Alex,,South Brisbane,-27.47404,153.01462,Entire home/apt,,1,62,2025-10-19,2.95,5,0,50,
1080046331904791835,Good Value 2BR Near Stadium & River w/ WiFi,78924442,Lee,,Brisbane City,-27.467656302442325,153.0174618847723,Entire home/apt,133,1,68,2025-10-17,3.20,291,299,43,
1080082946900248401,Private Room in Wilston close to city,330316234,Bikii,,Wilston,-27.43615,153.01696,Private room,80,1,0,,,1,268,0,
1080127193934521715,Spacious 3-BR Haven Prime Location Shopping Centre,535719931,Yue,,Calamvale - Stretton,-27.6164943,153.0589481,Entire home/apt,196,2,30,2025-10-19,1.41,4,7,11,
1080293095258550249,Nice and quiet apartment,428343813,Lilian,,Annerley,-27.52195,153.02658,Entire home/apt,185,1,0,,,1,268,0,
1080849649303390478,Clean 1 Bdr Apt w/ AC & Kitchen | Parking | 339F1,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.55363,153.01643,Entire home/apt,230,1,12,2025-06-25,0.56,105,363,5,
1081296828294857881,Wild Luxe Beach Front Escape- 1 min walk Southbank,23875919,Holly,,South Brisbane,-27.48093,153.02396,Entire home/apt,250,1,126,2025-10-28,2.65,20,190,21,
1081360313953638539,Spacious 1st-floor home,116188078,Henrietta,,Yeronga,-27.5264398,153.0003387,Entire home/apt,123,6,28,2025-11-01,1.37,3,10,11,
